text,sentiment,brand
b saja so so kurang tempat non smoking area,negative,Kopi Nako
lama bangke,negative,Kopi Nako
tempat nongkrong tiap hari rumah dua,positive,Kopi Nako
venue 2 10 wifi oke dan kenceng arsitektur bagus dengan suasana outdoor namun sayang semua lebih itu harus rusak dengan suara musik yang terlalu kencang dan berisik bikin alam ngobrol sangat ganggu dan tidak nyaman berisik banget sumpah sampai sudah pindah beberapa tempat tetep saja gendang telinga rusak suara musik kenceng banget tolong kondisi lah orang mau ngafe bukan mau dengerin playlist elu yang kenceng ngalah2in konser bagus kok kalo volume rangin dikit saya yakin makin rame nih kafe food beverages 3 10 kopi lumayan enak tapi makan sangat kurang french fries terlalu asin goreng nugget maupun tahu cabe garam banyak sekali minyak dan rasa tidak ada yg enak buat ganjel perut doang it s ok tapi kalo soal rasa no bisa di improve lagi price 4 10 standar kafe kota tidak mahal tidak murah tapi turut saya masih kurang dengan kualitas makanan segitu harus lebih ekonomis lagi service 7 10 ok good,negative,Kopi Nako
harga jangkau layan bagus tempat bersih dan sejuk,positive,Kopi Nako
mungkin bisa baik lagi untuk sistem aman parkir barangkali bisa punya security sendiri jadi gaada jukir liar yg ngotot mintain duit beli kopi doang tidak sampe nongkrong yg berjam2 tagih 3rb tapi ini bukan masalah nominal yaa moga jadi masuk,negative,Kopi Nako
nyaman sekaleh,positive,Kopi Nako
kentang aroma pisang goreng ruang kerja panas jadi jgn lupa minta mbanya nyala ac ya tapi mhsiknya dong tidak enak banget di kuping perlu benah sound system nya jd kerja di situ juga nyaman,negative,Kopi Nako
tukang parkir tidak guna,negative,Kopi Nako
enakeun tempatnyaa tapi kalo ujan banyak area yg keujanan,negative,Kopi Nako
mantap si enjoy banget andal ngopi sampe subuh,positive,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
recommended banget buat bahan baku makanan sangat bagus kualitas dan murah,positive,Kopi Nako
briefing terlalu lama tanpa beri tahu kata sebentar lagi tapi malah jadi masih lama kita buat tunggu terlalu lama tanpa jelas bad service karena tidak beri pasti pasti jika ada briefing seperti itu beri jelas jangan diam begitu saja kasi yang sudah tunggu,negative,Kopi Nako
briefing terlalu lama tanpa beri tahu kata sebentar lagi tapi malah jadi masih lama kita buat tunggu terlalu lama tanpa jelas bad service karena tidak beri pasti pasti jika ada briefing seperti itu beri jelas jangan diam begitu saja kasi yang sudah tunggu,negative,Kopi Nako
comfort place,negative,Kopi Nako
iced latte had a hair in it french fries were really bad because of the old cooking oil only good thing was the atmosphere,negative,Kopi Nako
makan udah enak minum udah seger eh tugas parkir tidak bantuin saya yang sulit keluar malah duduk2 saja ngerokok depan gerbang masuk ada 3 orang padahal sambil minta 3000,negative,Kopi Nako
tempat nya bikin pw tapi kalo ujan beda cerita,negative,Kopi Nako
tmpat baru cukup crowded makan cemilan kopi dan non kopi harga under 50k pajak n service sudah include parkir bisa masuk bisa luar,negative,Kopi Nako
makanan 45 menit pisang goreng dan kuetiaw tidak dateng posisi sepi cuma ada 3 customer,negative,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
mesen di gofood teh apel sama teh melon yg dateng kopi cara harga lebih murah yg lebih penting point nya tdk sesuai pesan kecewa,negative,Kopi Nako
servicenya ok makanan minuman standar hanya saja suasana yang kurang agak panas dan sumpek kalau penuh,negative,Kopi Nako
tempat yang nyaman buat ngopi2 walaupun kursi sangat tidak nyaman,negative,Kopi Nako
tempat luas banyak tempat duduk outdoor buat minum cukup cepat mungkin hanya 5 menit sudah jadi untuk harga sih affordable ya dan pilih minum juga banyak tempat ini hampir selalu ramai apalagi pas weekend cukup sulit nyari parkir untuk mobil kalau motor parkir banyak dan luas,positive,Kopi Nako
tempat yg cozy banget buat ngopi sambil ngobrol sama temen atau pasang,positive,Kopi Nako
estetik,positive,Kopi Nako
buat nongkrong cocok sih,positive,Kopi Nako
servicenya ok makanan minuman standar hanya saja suasana yang kurang agak panas dan sumpek kalau penuh,negative,Kopi Nako
tempat nongki anak nuju meumeujeuhna saur urang sunda mah sampe susah cari tempat duduk,negative,Kopi Nako
tempat bagus asik buat nongkrong cuma sayang saya pesan kwetiaw goreng asin banget smg k dpnnya bisa d prbaiki,negative,Kopi Nako
wifi nya perlu baik gak bisa konek,negative,Kopi Nako
sen makan rawon ada tanda jempol nyata jauh dari kata lmyn nasi nya kaya buat nasi goreng jd aga keras minuman nya enak tempat nya enak,negative,Kopi Nako
asik banget ngopi nya tmp nya keren,positive,Kopi Nako
b saja so so kurang tempat non smoking area,negative,Kopi Nako
enak banget tempat nya juga nyaman bangett,positive,Kopi Nako
tolong dong buat online order perhati ojol driver nunggu tuh makan waktu sedang sini online lama banget layan nya kita driver harus cari order yg lain tidak ngurusin order kopi nako doang,negative,Kopi Nako
makan udah enak minum udah seger eh tugas parkir tidak bantuin saya yang sulit keluar malah duduk2 saja ngerokok depan gerbang masuk ada 3 orang padahal sambil minta 3000,negative,Kopi Nako
sangat enak dan nyaman sejuk pula,positive,Kopi Nako
mungkin bisa baik lagi untuk sistem aman parkir barangkali bisa punya security sendiri jadi gaada jukir liar yg ngotot mintain duit beli kopi doang tidak sampe nongkrong yg berjam2 tagih 3rb tapi ini bukan masalah nominal yaa moga jadi masuk,negative,Kopi Nako
suka banget suasana sejuk ademnn,positive,Kopi Nako
judul beda beda customer cerita ruang no smoking di boleh ngerokok krna teman yg punya cafe trus komplen ehh kata udah ngomong sama yg punya cafe wkwkwkw status sama sama customer atau mungkin krna yg punya saham teteh say mungkin jendela bisa di buka sama customer harus harga sih kalo kamu ngerokok yah maap kamu luar hal peleh sih tapi bikin g nyaman kalo customer komplen mah g usah perhati harus punya dekat dulu sama yg punya cafe angkattopi no respect sama teteh yg layan kan saya g bayar lohh teh dtg duduk doang yah jadi ngikut saja gitu yah tadi udah nyaman loh bakal balik tapi seperti tidak padahal kopi dan singkoknya juara,negative,Kopi Nako
kopi enak menu pisang juga enak banyak spot yg fotogenik area indoornya ada beberapa spot tapi spot yg di depan agak sempit ya cuma ada beberapa table saja,negative,Kopi Nako
desain similar dengan kopi nako sparc senayan untuk ngopi duduk atas sejuk pandang hijau banyak pohon2,negative,Kopi Nako
tempat bagus cozy tapi lampu nya redup sayang banget sih kalau makanan so so lah,negative,Kopi Nako
it s just a typical coffee shop quite spacious and have plenty power socket the food is decent and has a nice vibe for simply hanging out,positive,Kopi Nako
tempat selalu rame dari pukul 14 00 sampai closing lebih asik ruang buka nya beri canopy agar tidak terlalu panas atau bisa lindung dari hujan,negative,Kopi Nako
mesen di gofood teh apel sama teh melon yg dateng kopi cara harga lebih murah yg lebih penting point nya tdk sesuai pesan kecewa,negative,Kopi Nako
enak sama cewe apalagi pas hujan hujan,positive,Kopi Nako
ojol hambat cari nafkah gara nunggu order sini baik waktu tunggu untuk ojol yg ambil order,negative,Kopi Nako
ojol hambat cari nafkah gara nunggu order sini baik waktu tunggu untuk ojol yg ambil order,negative,Kopi Nako
layan ramah ramah tempat bersih n chill banget ada musholanya yg wangi n bersih juga harga jangkau,positive,Kopi Nako
layan ramah ambience tenang tidak terlalu crowded,positive,Kopi Nako
layan atas nama rio dan dindaa okee banget minum enak inti recommended banget gaes,positive,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
agak overprice dg kualitas rasa makanan yg biasa saja ada yg terlalu salty agak keras terlalu oily nasi mangkok ayam mercon enggak pedes untuk minum good lah,negative,Kopi Nako
tmptnya ckp strategis ruang tunggu luas dan yaman,positive,Kopi Nako
lumayan tempat nya estetik tapi hubung dtgnya pas hujan jadi sayang banget tidak kedapetan tempat dan hrs duduk pinggir,negative,Kopi Nako
your run of the mill coffee shop in bandung nothing special about it but i did enjoy my visit here it can get pretty crowded here especially on the weekends plenty of seating both indoors and outdoors though there is less indoor seating compared to outdoor seating the drinks they offer are nothing to write home about either it s just okay and there s nothing wrong with that 5 5,negative,Kopi Nako
tempat nya nyaman,positive,Kopi Nako
neng banget ngopi sini sama suami barista yang enak bikin kopi kak mochi sama kak riziq terima kasih kopi enak banget,positive,Kopi Nako
niat tidak beri layan wifi gratis tempat padahal sudah cocok buat kerja tapi percuma wifinya buruk jaring ada tapi tidak ada layan internetnya,negative,Kopi Nako
tempat pilih yang nyaman untuk santay,positive,Kopi Nako
lama bangke,negative,Kopi Nako
tempat oke rasa biasa saja,negative,Kopi Nako
tolong dong buat online order perhati ojol driver nunggu tuh makan waktu sedang sini online lama banget layan nya kita driver harus cari order yg lain tidak ngurusin order kopi nako doang,negative,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
makan udah enak minum udah seger eh tugas parkir tidak bantuin saya yang sulit keluar malah duduk2 saja ngerokok depan gerbang masuk ada 3 orang padahal sambil minta 3000,negative,Kopi Nako
minum enak service nya kak iqbal good mantap tempat luas,positive,Kopi Nako
layan lama,negative,Kopi Nako
rekomendasi tempat nongkrong di bandung yang nyaman parkir luas kopi mantap dan makan enak enak,positive,Kopi Nako
tempat sangat nyaman ada live musik makanan minuman enak the best,positive,Kopi Nako
untuk minuman nako nya enak banget layan nya ramah apalagi mas rio,positive,Kopi Nako
tempat enak,positive,Kopi Nako
kopi enak kemaren coba kopi duren tempat juga enak cm musholanya sama kamar mandi agak gelap,positive,Kopi Nako
mesen di gofood teh apel sama teh melon yg dateng kopi cara harga lebih murah yg lebih penting point nya tdk sesuai pesan kecewa,negative,Kopi Nako
tempat nya nyaman free wifi juga trs kopi nya juga enak layan dari ka rishel ramah sangat baik,positive,Kopi Nako
cenderung aga mahal,negative,Kopi Nako
tempat mayan nyaman buat ngobrol dan nongkrong makanan ala kadar dan mahal layan aduh ancur banget suruh ambil kopi sendiri dan ambil makanan sendiri pdhal makanan nya mahal2 shrusnya layan juga oke,negative,Kopi Nako
lumayan buat nongkrong meski ada jalur padat kendara,negative,Kopi Nako
variasi menu banyak minuman enak cuman aga manis sistem antre saat order harus jelas tadi saya serobot orang gara2 tidak ada sistem antre dan mbak diem saja padahal liat tadi saya datang duluan harus staffnya sadar konsumen yang datang duluan siapa agar cegah jadi seperti ini toilet juga harus pisah sesuai gender untuk tingkat nyaman konsumen,positive,Kopi Nako
order lebih dari 50k kaga dapet bonus eskopi kata sih order lebih dari 50k dapet eskopi karna grandopening order sampe 2x karna ada orang yang harus di tunggu tapi kena usir waitress,negative,Kopi Nako
kalo hujan repot saja,negative,Kopi Nako
mahal tapi sesuai,negative,Kopi Nako
kopi nya enak creamy recomended makan byk pilih tempat bagus,positive,Kopi Nako
tempat cozy banget kalo weekend penuh mulu dari kopi sampe snacknya gak ada yang gagal sih enyak enyakk,positive,Kopi Nako
agak over price kalo untuk daerah situ cuma makanan dan minum enak minus kalo hujan bubar,negative,Kopi Nako
seru tmpatnya oke,positive,Kopi Nako
makan udah enak minum udah seger eh tugas parkir tidak bantuin saya yang sulit keluar malah duduk2 saja ngerokok depan gerbang masuk ada 3 orang padahal sambil minta 3000,negative,Kopi Nako
kopi enak menu pisang juga enak banyak spot yg fotogenik area indoornya ada beberapa spot tapi spot yg di depan agak sempit ya cuma ada beberapa table saja,negative,Kopi Nako
itu barista nya yg nama riziq songong dah gada attitude nya woy ini yg milih2 kerja nya pilih2 lgi ngapa org2 kaya begitu di terima heran banget tiati lu nako punya barista kaya dia,negative,Kopi Nako
indah dan nyaman bersahat,positive,Kopi Nako
sen makan rawon ada tanda jempol nyata jauh dari kata lmyn nasi nya kaya buat nasi goreng jd aga keras minuman nya enak tempat nya enak,negative,Kopi Nako
tempat cocok untuk anaknmuda kopi enak aq pesan espresso dan capucino ice,positive,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
sarang bot,negative,Kopi Nako
si teteh nya baik banget banget banget,negative,Kopi Nako
enak semuanyaa,positive,Kopi Nako
tempat bagus cozy tapi lampu nya redup sayang banget sih kalau makanan so so lah,negative,Kopi Nako
nongkrong meeting ngelamun semua bisa,positive,Kopi Nako
kopi nako bandung lokasi sangat strategis mudah cari karna di pinggir jalan dan lokasi masih sekitar kota bandung untuk tempat nyaman ya dan desain tempat juga sama seperti kopi nako lain rasa makanan enak cuma untuk yg sini karna desain bener bener kaya cafe harga lumayan ya tidak seperti yg di bogor jauh lebih murah untuk pisang bakar saja 20 rb 4 pcs nasi cumi dan nasi ikan dor kisar 39 rb dan porsi juga standar banget bisa bilang dikit harga kopi sih standard mulai 23 ribu yang agak kecewa pas mau bayar mereka awal tidak nerima tunai karna tidak ada kembali hanya payment qris debit dan payment non tunai karna ada tunai ya paksa tunai saja walaupun tidak ada kembali jadi kembali nya sekitar 4 rb untuk tips tidak berapa sih cuma kan customer udah bayar tax 10 kasi tips juga yg nominal buat saya sih lumayan lah soal saya bandung buat libur jadi nominal 4 rb bisa buat bayar parkir di kopi nako saja parkir saya harus bayr coba ada kembali kan lumayan managementnya untuk bayar lebih baik tidak semua org lagi bawa debit atau payment nontunai saya sih bukan nya tidak ada debit cuma udah tarik tunai semua karna niat libur kan biasa apa apa harus bayar cash kalo suruh balik lagi mungkin tidak deh karna dari segi harga sama saja ko kaya cafe lain masih banyak cafe bandung yg lebih asthetic dan saji makanan yg mungkin lebih enak dengan harga yg sama,negative,Kopi Nako
wifi nya perlu baik gak bisa konek,negative,Kopi Nako
dear nako tidak usah ada dj dj an berisik tempat bagus djnya bikin tidak nyaman musik keras tidak bikin tempat ini makin bagus,negative,Kopi Nako
udah jadi tempat hari ngopi kaya,positive,Kopi Nako
suka sama viewnya makan enak murah dan senang saya kesini sama teman teman,positive,Kopi Nako
tempat nyaman walau parkir batas,positive,Kopi Nako
aku sen tahu cabe garam rasa enak minuman nya juga enak layan dari ka rishel sangat baikk terus sini juga free wifi jadi enak bisa sambil ngerjain tugas kuliah,positive,Kopi Nako
tempat mayan nyaman buat ngobrol dan nongkrong makanan ala kadar dan mahal layan aduh ancur banget suruh ambil kopi sendiri dan ambil makanan sendiri pdhal makanan nya mahal2 shrusnya layan juga oke,negative,Kopi Nako
niat tidak beri layan wifi gratis tempat padahal sudah cocok buat kerja tapi percuma wifinya buruk jaring ada tapi tidak ada layan internetnya,negative,Kopi Nako
kopi durian nya enak banget kopi susu nya juga enak kopi nya rasa pis tempat luas spot nongkrong nya banyak adem lagi,positive,Kopi Nako
semua cemilannya enak2 kopi juga enak tempat nya cozy punya nyaman dan tidak berisik hehe buat waitersnya rishel ramah banget,positive,Kopi Nako
biasa saja nyata rasa kopi standar agak mahal,negative,Kopi Nako
pw abis minggu 3x kesini dan gapernah bosen,positive,Kopi Nako
kopi nako duren enak layan dari rishel ramaah makannannya mantap lah poko,positive,Kopi Nako
branch coffee shop yang udah kenal di jabodetabek tempatnyaa luas dan bagi besar outdoor hindarin pas hujan buat harga masih cukup standarr ke arah jangkau rasa minuman makan surprisingly enak poin plus juga wifi nya kenceng cocok buat nugas atau kerja poin timbang saja tempat parkir mobil agak batas kalo ada lumayan jauh kalo motor aman dan kalo kesini malem lumayan susah buat nyari spot duduk yang kosong karena rame teruss,positive,Kopi Nako
tempat kece banget makanan enak tapi layan nya ampun deh jadi cerita kan kita gatau habis pesan lsg ambil minum terus layan nya ngoceh manya kudu neangan nungarana nabila dengar banget karena ngomong belakang kita terus pas kita udah selesai mau pulang mata ngeledek note layan cewe dua sekitar jam 9 malam klo mau kaya gtu kerja di karens dinner saja dong,negative,Kopi Nako
harus tambah stand umbrella biar tidak pegal megang payung pas hujan,negative,Kopi Nako
minuman sama makan enak tempat nyaman pokoknyaa top,positive,Kopi Nako
dear nako tidak usah ada dj dj an berisik tempat bagus djnya bikin tidak nyaman musik keras tidak bikin tempat ini makin bagus,negative,Kopi Nako
tempat ok tapi kurang karyawan kali ya buat anterin makan padahal sen nya klo byk hrs bolak balik turun naik tangga,negative,Kopi Nako
enak buat ngobrol santai bareng temen apalagi suka ada live musik,positive,Kopi Nako
tempat enak untuk santai sama teman maupun keluarga karna kids friendly makan lumayan agam minum juga tidak hanya kopi saja jadi untuk cinta non kopi pun cocok nongkrong sini untuk rasa makanan dan minum pun enak dan harga sangat affordable,positive,Kopi Nako
banyak bot,negative,Kopi Nako
mantap enakeun,positive,Kopi Nako
tempat bagus cozy tapi lampu nya redup sayang banget sih kalau makanan so so lah,negative,Kopi Nako
excellent service and good taste,positive,Kopi Nako
drinks not really good foods are so so,negative,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
good food for a reasonable price due to the best service and great atmosphere,positive,Kopi Nako
kasir jutek,negative,Kopi Nako
harus tambah stand umbrella biar tidak pegal megang payung pas hujan,negative,Kopi Nako
tempat nyaman,positive,Kopi Nako
tempat nya bagus makanan nya juga enak enak rekomen ke sini si buat orang bandung,positive,Kopi Nako
tempat nyaman untuk ngopi cantik,positive,Kopi Nako
tempat ngopi yang cukup hits di bandung eskosunya enak tipe yg masih rasa kopi tapi juga gak terlalu pait banget kalo mau yg creamy bisa sen yg daur baur wkwk lupa nama kopi soal liat padu oat almond ini asumsi saja sih betul ku gak sen itu makan enak dan variatif ada nasi cemilan dll staff nya helpful banget pas kesini betul weekday dan gak terlalu rame juga jadi masih nyaman kalo weekend mungkin penuh banget ya untuk parkir mobil agak susah ya krn harus parkir di luar cuma parkir motor proper kok langsung di dalem halaman ada indoor dan outdoor juga colok pun cukup byk cuma yg proper meja banyak di indoor sih aplg buat laptop dan ada ruang non smoking juga jadi nyaman lah,positive,Kopi Nako
untuk minum saya suka dan manis pas dan layan juga baik di layan oleh ka rishel,negative,Kopi Nako
pertama kali kesini tempat nyaman hanya kalau siang sih panas ya konsep emang kebaya outdoor gitu pas kemaren ada hujan jadi repot kasi yang outdoor keujanan sini sistem pesan makanan dan minuman langsung ke kasir telah bayar akan kasi alarm saat bunyi kita datang ambil makanan kalau minuman ada tempat sendiri untuk tunggu ready so far suasana oke cocok lah untuk nongkrong makanan oke coffenya enak sama untuk harga mungkin ini lebih murah sih pantes ramee oiya ini makin sore makin rame pokok,positive,Kopi Nako
lebih baik makanan di pesan yg perlu waktu buat yaa di antar oleh layan karena klo kita bagi duduk di depan pr sekali bgambil pesan trimakasih sukses selalu,negative,Kopi Nako
tempat nyaman banget makananya juga enak sekali buanyakk pulaak hihi pelayananya ramah banget banget banget whehehehe yeay pokonyaa kopi nako ini beztt banget,positive,Kopi Nako
kopi nya best tempat luas bersih nyaman banget buat ngopi layan juga ramah banget murah senyum kasir sama waitress yg nama risell luvv banget,positive,Kopi Nako
layan sangat ramah makanan dan minuman nya enak enak,positive,Kopi Nako
tempat nyaman buat ngopi2 sambil ngemil2 cantik kopi nako nya enak banget creamy matcha ala nakonya apalagi enak ada ice creamnya bagi suka matcha wajib cobain layan juga ramah nanti ketemu dengan yg nama kang rio oiya jgn lupa cobain menu baru gorejag,positive,Kopi Nako
tempat nya cozy makan lezatt buat nongkrong dan niiskeunn kepala itu sangat oke,positive,Kopi Nako
tempat bagus nyaman makanan nya enak mantap,positive,Kopi Nako
tempat nyaman enakeun,positive,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
cenderung aga mahal,negative,Kopi Nako
tiap dapet order grabfood pasti selalu lama lebih dari tengah jam bikin males,negative,Kopi Nako
mie goreng 4 5 pesan pedas sedang tapi nyata pedas banget hot chocolate kurang panas sama kurang manis sedikit harga masih standar lah kl segitu untuk tempat cukup estetik banyak kursi yg sedia jd jgn takut tidak bagi tempat tapi mudah2an next sedia no smoking area biar lebih nyaman,negative,Kopi Nako
tempat enak cozy banget apalagi malem,positive,Kopi Nako
nyaman banget suka,positive,Kopi Nako
tempat nya bikin pw tapi kalo ujan beda cerita,negative,Kopi Nako
tempat kece banget makanan enak tapi layan nya ampun deh jadi cerita kan kita gatau habis pesan lsg ambil minum terus layan nya ngoceh manya kudu neangan nungarana nabila dengar banget karena ngomong belakang kita terus pas kita udah selesai mau pulang mata ngeledek note layan cewe dua sekitar jam 9 malam klo mau kaya gtu kerja di karens dinner saja dong,negative,Kopi Nako
buat yang baru pertama kali kesini harus bawa debit ya cash no only,negative,Kopi Nako
resep pis euy pw,positive,Kopi Nako
enak banget,positive,Kopi Nako
layan lama,negative,Kopi Nako
itu barista nya yg nama riziq songong dah gada attitude nya woy ini yg milih2 kerja nya pilih2 lgi ngapa org2 kaya begitu di terima heran banget tiati lu nako punya barista kaya dia,negative,Kopi Nako
kopi enak menu pisang juga enak banyak spot yg fotogenik area indoornya ada beberapa spot tapi spot yg di depan agak sempit ya cuma ada beberapa table saja,negative,Kopi Nako
negatif parkir buat mobil susah pinggir jalan jatuh kaya parkir ilegal khawatir aman parkir bisa buat motor doang yang di dalam rasa makanan biasa saja meski harga emang standart sih tapi banyak tempat lain ngasih harga sama rasa lebih enak selain itu variasi tidak ada cocok buat nongkrong sekal krn emang suasana enak,negative,Kopi Nako
tempat enakeun tapi kursi kurang nyaman kalo untuk duduk lama seperti emang set seperti itu hehe kopi enak nasgornya enak juga,negative,Kopi Nako
enak buat nongkrong sore sore,positive,Kopi Nako
tempat nyaman cocok buat nugas atau nongkrong makan juga enak,positive,Kopi Nako
layan nya bagus makanan minuman nya enak,positive,Kopi Nako
tempat bagus ada ruang yg bisa direservasi,positive,Kopi Nako
sangat kecewa saya dan teman saya pesan minuman baru minum sedikit dan tinggal sebentar foto foto tidak jauh dari meja malah buang dan resin hati hati buat yang kesini kalo mau ke wc atau foto foto minuman sama makanan nya bakal resin langsung,negative,Kopi Nako
tempat sangat nyaman udara segar kopi lumayan enak pisang goreng dan kentang goreng juga enak ada tempat ber ac no smoking juga yg smoking area,positive,Kopi Nako
tempat pw makanan sama minumanya enak dan layan okee banget,positive,Kopi Nako
negatif parkir buat mobil susah pinggir jalan jatuh kaya parkir ilegal khawatir aman parkir bisa buat motor doang yang di dalam rasa makanan biasa saja meski harga emang standart sih tapi banyak tempat lain ngasih harga sama rasa lebih enak selain itu variasi tidak ada cocok buat nongkrong sekal krn emang suasana enak,negative,Kopi Nako
judul beda beda customer cerita ruang no smoking di boleh ngerokok krna teman yg punya cafe trus komplen ehh kata udah ngomong sama yg punya cafe wkwkwkw status sama sama customer atau mungkin krna yg punya saham teteh say mungkin jendela bisa di buka sama customer harus harga sih kalo kamu ngerokok yah maap kamu luar hal peleh sih tapi bikin g nyaman kalo customer komplen mah g usah perhati harus punya dekat dulu sama yg punya cafe angkattopi no respect sama teteh yg layan kan saya g bayar lohh teh dtg duduk doang yah jadi ngikut saja gitu yah tadi udah nyaman loh bakal balik tapi seperti tidak padahal kopi dan singkoknya juara,negative,Kopi Nako
nyamaan tempat nya kopi juga enak hargaa jangkau,positive,Kopi Nako
suasan adem minuman makanan enak ngt rekomen,positive,Kopi Nako
over all good tempat cozy buat ngumpul2,positive,Kopi Nako
tepat nyamanbgt buat nongkrong nongkrong betah sih sama kopi nya endol pelayananya oke staff ramah,positive,Kopi Nako
tempat enak karena suasana buka cocok untuk nongkrong dan ngobrol santai sedikit repot kalau hujan di bagi outdoor selalu ramai dan parkir cukup sulit untuk kopi dan nasi kini enak untuk harga kopi harga standar namun untuk makan harga kisar di 40 ribu,positive,Kopi Nako
tempat nyaman,positive,Kopi Nako
layan nya cepat,positive,Kopi Nako
tempat cozy banget,positive,Kopi Nako
lumayan tapi dekat makam pahlawan,negative,Kopi Nako
your run of the mill coffee shop in bandung nothing special about it but i did enjoy my visit here it can get pretty crowded here especially on the weekends plenty of seating both indoors and outdoors though there is less indoor seating compared to outdoor seating the drinks they offer are nothing to write home about either it s just okay and there s nothing wrong with that 5 5,negative,Kopi Nako
lebih baik makanan di pesan yg perlu waktu buat yaa di antar oleh layan karena klo kita bagi duduk di depan pr sekali bgambil pesan trimakasih sukses selalu,negative,Kopi Nako
sangat kecewa saya dan teman saya pesan minuman baru minum sedikit dan tinggal sebentar foto foto tidak jauh dari meja malah buang dan resin hati hati buat yang kesini kalo mau ke wc atau foto foto minuman sama makanan nya bakal resin langsung,negative,Kopi Nako
best coffeeshop di bandung,positive,Kopi Nako
layan dan makanan sangat wort it tengkyu kopi nako,negative,Kopi Nako
aku dapet eskrim nihh keren banget kaka nya baik banget seriuss makananya juga enak banget serius,positive,Kopi Nako
agak over price kalo untuk daerah situ cuma makanan dan minum enak minus kalo hujan bubar,negative,Kopi Nako
cozy place tapi sayang parkir batas dan agak susah posisi di pinggir jalan dan mudah untuk di cari,negative,Kopi Nako
matcha latte da best,positive,Kopi Nako
tolong dong buat online order perhati ojol driver nunggu tuh makan waktu sedang sini online lama banget layan nya kita driver harus cari order yg lain tidak ngurusin order kopi nako doang,negative,Kopi Nako
tukang parkir tidak guna,negative,Kopi Nako
pelayananya cepat ramah juga utama rishel rasa kopi juga enak,positive,Kopi Nako
layan dan makanan sangat wort it tengkyu kopi nako,negative,Kopi Nako
tempat enak buat nongki sama temen temen makanan dan minuman nya juga enak servis nya juga bagus,positive,Kopi Nako
nongkrong di kopi nako tempat nyaman minum enak dan cocok jadi tempat santai,positive,Kopi Nako
makan udah enak minum udah seger eh tugas parkir tidak bantuin saya yang sulit keluar malah duduk2 saja ngerokok depan gerbang masuk ada 3 orang padahal sambil minta 3000,negative,Kopi Nako
tempat nongkrong yg asyik dan cukup senang cm parkir nya saja yg kurang luas,negative,Kopi Nako
cenderung aga mahal,negative,Kopi Nako
kopi nyaa enak bngtt makanan nya juga tidak kalah enak pol layan nya ramah ramah,positive,Kopi Nako
si teteh nya baik banget banget banget,negative,Kopi Nako
kopi nya enak makananya enak waiter nya cantik2 pelayananya ramah banget sampe jatuh hati utama ka risel,positive,Kopi Nako
harus tambah stand umbrella biar tidak pegal megang payung pas hujan,negative,Kopi Nako
buat yang baru pertama kali kesini harus bawa debit ya cash no only,negative,Kopi Nako
layan dan makanan sangat wort it tengkyu kopi nako,negative,Kopi Nako
banyak pelangi gatau mungkin kebeneran saja gatau gimana,negative,Kopi Nako
tempat oke rasa biasa saja,negative,Kopi Nako
enakeun tempatnyaa tapi kalo ujan banyak area yg keujanan,negative,Kopi Nako
makanan datang lama banget pas sudah ready makan itu tidak panas sama skali malah cm anget2 kuku doang,negative,Kopi Nako
lebih bagus di ain tissue di tiap meja ribet juga soal kalo tiap kesini harus bawa tissue sendiri,negative,Kopi Nako
cozy,negative,Kopi Nako
nyaman tempat,positive,Kopi Nako
layan lama,negative,Kopi Nako
tempat yg cozy untuk nongkrong cocok untuk anak muda,negative,Kopi Nako
kopi enak apalagi mie ayam,positive,Kopi Nako
suka banget sama kopi susu nya pass banget rasa banget kopi nya dan layan nya pun cukup ok,positive,Kopi Nako
langgan ngopi tiap minggu tidak tiap minggu juga deng,positive,Kopi Nako
kurang parkir mobil saja sih sisa all good,negative,Kopi Nako
saya kasi bintang 2 untuk rasa kopi tapi tempat bintang 5,negative,Kopi Nako
suasana pagi nya enakeuunn tambah lagi service dari mas zidan super ramah full senyum helpfull dari awal dateng sudah sapa sama doi,positive,Kopi Nako
good ambience here,positive,Kopi Nako
layan dan makanan sangat wort it tengkyu kopi nako,negative,Kopi Nako
makanan dan minum enak enak layan juga ramah,positive,Kopi Nako
kopi enak suasana cozy mantap buat kongkow,positive,Kopi Nako
mesen di gofood teh apel sama teh melon yg dateng kopi cara harga lebih murah yg lebih penting point nya tdk sesuai pesan kecewa,negative,Kopi Nako
ngopi gaul kaya diem di outdoor yg keren poko klo aku minum kopi setrong setrong banget deh,negative,Kopi Nako
