text,text,sentiment,brand
"jujur soal kopi juara banget sih.tempatnya nyaman bersih,dan pelayanan baristanya pun sangat oke.cuma ada satu yang bikin ga nyaman banget,masalahnya ada di tukang parkir yang gak tau tatakrama,sudah pungli gak tau diri.TUKANG PARKIR DUNGU MENGANGGU KENYAMANAN","1186|||Secara keseluruhan kopinya juara: tempat nyaman dan bersih serta pelayanan barista oke, namun petugas parkir yang melakukan pungutan liar mengganggu kenyamanan.",positive,Kopi Kenangan
"Seger banget minum kopi kengangan disini .. di tambah tempatnya mantap banget , sejuk , enak buat kongkow..",606|||Sangat segar menikmati Kopi Kenangan di sini; tempat sejuk dan nyaman untuk berkumpul.,positive,Kopi Kenangan
": Kopi ceo gabisa less sugar blaa blaablaa

Barangkali ada yg gatau BISA YAA LESS SUGAR di aplikasi jg bisa, mbaaak jng ngatur2 pesenan org yah kan cm staff bkn owner",771|||Beberapa pegawai tidak dapat menerima permintaan less sugar; padahal fitur tersebut tersedia di aplikasi. Mohon staf tidak mengatur pesanan pelanggan sembarangan karena mereka bukan pemilik.,negative,Kopi Kenangan
"ga usah kolab sama siapapun, apalagi brand gede, kamutu belum siap.","749|||Tidak perlu kolaborasi dengan siapa pun, apalagi merek besar; Anda belum siap.",negative,Kopi Kenangan
Luvv banget sama Kopi Kenangan Mantan❤️,Pelayanannya buruk dan terkesan judes; berbicara singkat tanpa senyum.,positive,Kopi Kenangan
Ada tempat smoking area yang cukup luas..namun sayang parkir mobil yang harus di ruko..kalau hujan aja kepikiran ya..agak jauh,602|||Terdapat area smoking yang cukup luas; sayangnya parkir mobil harus di ruko sehingga jika hujan terasa kurang ideal karena harus berjalan agak jauh.,positive,Kopi Kenangan
"Tempatnya nyaman. Pelayanan cepat. Pilihan tempat duduknya banyak. ACnya terlalu dingin bagi saya -,-

Minta less ice, berkurangnya cukup banyak. Biasanya ga terlalu banyak. Agak lebih mahal juga dari tempat laib..","Tempat nyaman, pelayanan cepat, pilihan tempat duduk banyak. AC terlalu dingin bagi saya. Permintaan less ice diakomodasi namun es yang berkurang terasa cukup signifikan; biasanya tidak sebanyak itu. Harga terasa agak lebih mahal dibandingkan tempat lain.",positive,Kopi Kenangan
Siiiplah,Sip.,positive,Kopi Kenangan
"paling males bgt sm bapak tukang parkir di kasih 2rb ga mau dan ngotot, mana ga di sebrang in, muter in motor jg susah sendiri,",Kopi Kenangan cabang Cibaduyut merupakan salah satu cabang terbaik yang ada di Kota Bandung.,negative,Kopi Kenangan
Tolong dong ini yang ngelayanin di hari Minggu masa sendirian? Nunggu lama banget. Belom lagi antrian dari shopeefood/grab/gofood,"843|||Mohon perhatikan pelayanan hari Minggu; tidak ideal jika hanya satu orang melayani karena menunggu lama, belum lagi antrean dari layanan pesan antar.",negative,Kopi Kenangan
Avocado milk no sugar normal ice blended with vanilla is perfecto,"Avocado milk tanpa gula, es biasa, blended dengan vanila, sempurna.",positive,Kopi Kenangan
Bagus,1029|||Bagus.,negative,Kopi Kenangan
": Kopi ceo gabisa less sugar blaa blaablaa

Barangkali ada yg gatau BISA YAA LESS SUGAR di aplikasi jg bisa, mbaaak jng ngatur2 pesenan org yah kan cm staff bkn owner",771|||Beberapa pegawai tidak dapat menerima permintaan less sugar; padahal fitur tersebut tersedia di aplikasi. Mohon staf tidak mengatur pesanan pelanggan sembarangan karena mereka bukan pemilik.,negative,Kopi Kenangan
Saya pesan kopi kenangan mantan 5 reguler tanpa es tapi yg dikirim pakai es normal semuanya. Tolong diperbaiki lagi pelayanannya,"1080|||Saya memesan lima Kopi Kenangan Mantan reguler tanpa es, namun yang dikirim semua menggunakan es. Mohon perbaiki layanan.",negative,Kopi Kenangan
Lebih mentingin ofline dibanding yg makan ditempat,Lebih mementingkan pelanggan offline dibanding yang makan di tempat.,negative,Kopi Kenangan
Ya begitulah..tp enak sih,"823|||Ya begitulah, tetapi rasanya enak.",positive,Kopi Kenangan
Males banget sama tukang parkir nya. Mau beli kopi sebiji doang parkir motor doang ribet bgt. Sering bgt parkir di suruh pindah. Mana galak lagi. Udah deh ga akan kesini lagi karena males sama tukang parkir nya. SEMUA TUKANG PARKIR. Gak cuman satu!!!,533|||Saya sangat kecewa dengan penjaga parkir. Membeli satu kopi tetapi urusan parkir motor dibuat ribet; sering diminta pindah dan bersikap galak. Saya tidak akan kembali karena penjaga parkir yang tidak hanya satu tetapi banyak yang bersikap demikian.,negative,Kopi Kenangan
Tempatnya nyaman buat wfc atau nongkrong soalnya bersih dan luas,Tempat nyaman untuk work-from-cafe karena bersih dan luas.,positive,Kopi Kenangan
Lumayan enak sih tempat nya,Tempatnya lumayan enak.,positive,Kopi Kenangan
Saya pesan kopi kenangan mantan 5 reguler tanpa es tapi yg dikirim pakai es normal semuanya. Tolong diperbaiki lagi pelayanannya,"701|||Saya memesan Kopi Kenangan Mantan 5 reguler tanpa es, namun yang dikirim menggunakan es. Mohon perbaiki pelayanannya.",negative,Kopi Kenangan
Ada tempat smoking area yang cukup luas..namun sayang parkir mobil yang harus di ruko..kalau hujan aja kepikiran ya..agak jauh,1226|||Terdapat area merokok yang cukup luas; sayangnya parkir mobil berada di ruko sehingga jika hujan agak merepotkan.,positive,Kopi Kenangan
Keren,1401|||Keren.,positive,Kopi Kenangan
"pesan banyak dapet nya bocor, minum cuman setengah",729|||Pesan banyak namun yang diterima bocor; minumannya hanya setengah.,negative,Kopi Kenangan
"nge kasir sendiri, trus bkin kopinya sndiri, gaada barista nya, gila sih sbel bgt nunggunya lama","Saya mengurus kasir sendiri, lalu bikin kopi sendiri, tidak ada baristanya. Gila saya sangat kesal, nunggunya lama.",negative,Kopi Kenangan
Sudah berkali kali pesan disini selalu ga enak. Padahal di cabang yg lain enak enak aja.. Pesan less sugar masih kemanisan. Pesan less ice masih banyak es. Asli ga ngerti lagi sama kopken bubat. Tolong diperbaiki!,706|||Sudah berkali-kali memesan di sini dan selalu tidak enak. Padahal di cabang lain rasanya enak. Pesanan less sugar masih terlalu manis; pesanan less ice masih banyak es. Mohon perbaiki!,negative,Kopi Kenangan
"Mesin espresso La Marzocco, salah satu outlet dengan rasa kopi yang konsisten dan stabil, cukup sering kesini. Terdapat ruangan AC dan smoking area yang cukup nyaman hanya agak sedikit berisik karena lokasi tepat di bahu jalan buah batu yang lumayan ramai",535|||Menggunakan mesin espresso La Marzocco; salah satu outlet dengan rasa kopi yang konsisten dan stabil. Sering datang ke sini. Terdapat ruang ber-AC dan area smoking yang cukup nyaman namun sedikit berisik karena lokasi di pinggir jalan Buah Batu yang ramai.,positive,Kopi Kenangan
Apaan ini Cok pesen kenangan mantan frappe yang dikasih malah vanilla frappe mas nya malah bilang saya pesen vanilla frappe padahal saya gak pesen yang saya maksud vanilla itu vanilla milkbun saya bilang milkbun nya yang vanilla mana ngelag Mulu lagi mas mas nya ganti gak mau pula sok jago sama dulu juga pernah pesen donat nya donat nya bau sama ada kutunya pelayanan buruk,Saya menerima pesanan yang salah: memesan “Kenangan Mantan Frappe” tetapi diberi Vanilla Frappe. Staf mengira saya memesan Vanilla Frappe dan berargumen bahwa saya memesan item berbeda. Pelayanan buruk dan ada masalah kebersihan pada donat sebelumnya (bau dan kemungkinan ada serangga). Mohon perbaikan pelayanan dan kualitas makanan.,negative,Kopi Kenangan
"Tempat nya nyaman nyaman, bersih, kopi nya enak.
Tempat terbaik buat nongki ","553|||Tempat nyaman, bersih, kopinya enak. Tempat terbaik untuk nongkrong.",positive,Kopi Kenangan
"Kopi kenangan terburuk yg pernah d temui
Pegawai nya sangat tengik ,,antri lebih awal bisa lebih dulu yg baru pesan sangat tengik pegawai nya
Antrian tidak jelas dan pelayanan sangat buruk ,,,
Sangat tidak recommended mending beli d tempat yg lain","561|||Kopi Kenangan terburuk yang pernah saya temui. Pegawai bersikap sangat tidak menyenangkan; antrean tidak jelas dan pelayanan sangat buruk. Tidak direkomendasikan, sebaiknya beli di tempat lain.",negative,Kopi Kenangan
Tempan nyaman dan nyaman recommended pokonya...,Tempat nyaman dan direkomendasikan.,positive,Kopi Kenangan
Kalo mau sama makanannya kalo bisa dateng jangan terlalu sore,"1178|||Jika ingin sekaligus memesan makanan, sebaiknya datang tidak terlalu sore.",positive,Kopi Kenangan
"Mba yg melayaninya jutek banget, ditanya jawab ketus",886|||Pegawai yang melayani sangat jutek; saat ditanya menjawab ketus.,negative,Kopi Kenangan
"Kopi kenangan dengan pelayanan paling lama di kota bandung, pahdal order lewat aplikasi",600|||Pelayanan di Kopi Kenangan ini paling lama di Kota Bandung ketika memesan melalui aplikasi.,negative,Kopi Kenangan
"Pelayanan agak lelet, yang kerja sepertinya kurang sigap",668|||Pelayanannya agak lambat; staf tampak kurang sigap.,negative,Kopi Kenangan
"Mood 0/100 drive thru lama bgt parahhhhhh, ini udh yg ke berapa kali makanya berani bikin review!  gaada masalah sm produknya, cmn kl ga mampu bikin layanan drive thru gausah maksain",Pelayannya sangat ceria; senyumnya manis sehingga suasana menjadi positif bagi pelanggan.,negative,Kopi Kenangan
"Pelayanan oke tempat OKe, sayang tukang parkir nya nyolot bgt, dikasih 3rb. Tp msh minta tambah lagi pdhl bawa motor bkn mobil ( dgn nada yg tidak mengenakkan) tolong management kopken, tukang parkir nya diajarin attitude","657|||Pelayanan baik dan tempat oke, namun petugas parkir sangat arogan; diberi Rp3.000 masih meminta tambahan meskipun yang membawa motor, bukan mobil (dengan nada yang tidak menyenangkan). Mohon manajemen Kopi Kenangan mengajarkan sikap yang baik pada petugas parkir.",negative,Kopi Kenangan
Nice coffee shop with more taste choice,Tempat kopi yang bagus yang memiliki pilihan rasa yang banyak.,positive,Kopi Kenangan
udah deh gamau pulang,974|||Saya betah dan tidak ingin pulang.,positive,Kopi Kenangan
"Proses lama yang kerja sendiri,yang beli banyak. Menajem nya aneh.kasian pelayanya.","1344|||Proses lama ketika pekerja sendirian melayani banyak pembeli; manajemennya kurang baik, kasihan pelayan.",negative,Kopi Kenangan
Tempat pertama pertemuan yg nyaman ,1296|||Tempat pertama pertemuan yang nyaman.,positive,Kopi Kenangan
"Hanya lewat tiap hari, order dapat tahun lalu heee",1286|||Hanya lewat setiap hari; pesanan diterima tahun lalu.,positive,Kopi Kenangan
"Tempat bersih, ruang tungguu nyaman ber AC, karyawati ramah sekali. ","614|||Tempat bersih, ruang tunggu nyaman ber-AC, dan karyawati sangat ramah.",positive,Kopi Kenangan
"Nggak ada yang salah dari makanan atau minumannya, cuman pelayanannya buruk sekali, barista nya kalo ditanya mukanya kek males malesan.","778|||Tidak ada yang salah dari makanan atau minuman, namun pelayanannya sangat buruk; barista terlihat enggan melayani ketika ditanya.",negative,Kopi Kenangan
"Tempat Ngopi di Cibaduyut, enak buat nongkrong dekat bgt sama KFC akses nya gampang pinggir jalan bgt. Favorit tempat nya di sini ","1227|||Tempat ngopi di Cibaduyut, bagus untuk nongkrong, sangat dekat dengan KFC dan mudah diakses di pinggir jalan; tempat favorit di sini.",positive,Kopi Kenangan
Udah tau banyak pembeli tapi karyawan ada yg nyantai,"802|||Sudah mengetahui banyak pembeli, namun beberapa karyawan tampak santai dalam melayani.",negative,Kopi Kenangan
"Sumpah ya tempat nya tuh dah enak dan nyaman. Tapi ada aja kang parkir kek preman. Ditanya berapa kalau dua motor. Dengan enteng jawab 10 ribu eh buset. Lu kira ini mobil kah satunya 5 ribu. Please lah, adain kebijakan aturan parkir yang jelas","980|||Tempatnya nyaman, namun ada petugas parkir yang bertindak seperti preman; ketika menanyakan tarif untuk dua motor ia menyebut Rp10.000. Mohon dibuat kebijakan parkir yang jelas.",negative,Kopi Kenangan
Pelayanan lelet yg kerja cuma 1 orang,597|||Pelayanan lambat karena hanya satu orang yang bekerja.,negative,Kopi Kenangan
Ojol di minta uang parkir ‍♂,677|||Pengemudi ojek online diminta membayar uang parkir.,positive,Kopi Kenangan
"ngawur, mesen apa yg dikasih apaan bikin gamood aje pagi pagi",1037|||Pelayanan acak: memesan apa yang diberikan bukan apa yang dipesan sehingga suasana pagi menjadi tidak menyenangkan.,negative,Kopi Kenangan
Males banget sama tukang parkir nya. Mau beli kopi sebiji doang parkir motor doang ribet bgt. Sering bgt parkir di suruh pindah. Mana galak lagi. Udah deh ga akan kesini lagi karena males sama tukang parkir nya. SEMUA TUKANG PARKIR. Gak cuman satu!!!,533|||Saya sangat kecewa dengan penjaga parkir. Membeli satu kopi tetapi urusan parkir motor dibuat ribet; sering diminta pindah dan bersikap galak. Saya tidak akan kembali karena penjaga parkir yang tidak hanya satu tetapi banyak yang bersikap demikian.,negative,Kopi Kenangan
Kurang enak,Rasa kurang enak pada beberapa kesempatan.,positive,Kopi Kenangan
"14 jul sore. Barista lambat, ga pro, gue yg pertama tapi yg dilayani orang lain. Di tunggu ga inisiatif. Akhirnya gw yg balik lagi panggil dia ke kasir. Kasir tengik kok di pelihara, gw liat ulasan banyak yg ga suka sama pelayanan nya. Ga pernah mau beli lagi kopken di ruko cibaduyut.
Mang parkir matok harga mahal. Cuma ambil kopi doang bawa pulang parkir motor 3rb. Di mall aja ga kepanasan dan kehujanan 1jam cuma 1500. Udah gtu mang parkir ga ada guna juga menurut saya. Sekian.","1051|||14 Juli sore: barista lambat dan kurang profesional; meskipun saya datang pertama, yang dilayani orang lain sehingga saya harus memanggil kembali. Saya paham banyak pesanan, namun seharusnya pesanan saya diterima terlebih dahulu. Selain itu, petugas parkir mematok harga tinggi; untuk mengambil kopi bawa pulang parkir motor Rp3.000 — menurut saya tidak perlu dan tidak efisien.",negative,Kopi Kenangan
barager saroleh,Semuanya para baik,positive,Kopi Kenangan
Cozy place,"Cocok untuk work from cafe, barista sangat ramah.",positive,Kopi Kenangan
Males banget sama tukang parkir nya. Mau beli kopi sebiji doang parkir motor doang ribet bgt. Sering bgt parkir di suruh pindah. Mana galak lagi. Udah deh ga akan kesini lagi karena males sama tukang parkir nya. SEMUA TUKANG PARKIR. Gak cuman satu!!!,"912|||Saya sangat kesal dengan petugas parkir. Saat hanya ingin membeli satu kopi, pengaturan parkir motor dibuat merepotkan; sering disuruh pindah dan perilakunya galak. Saya tidak akan kembali karena petugas parkirnya — bukan hanya satu orang — bersikap seperti itu.",negative,Kopi Kenangan
"The WORST EVER product and services!why the UNICORN COMPANY like kopi kenangan seperti ini ya? Saya hampir tiap hari beli kopken dgn detail yg sama di bbrp gerai dan dibuah batu lebih sering karna dekat kantor.tp kenapa kali ini seperti ini???
1. Standar penyajian yg hanya setengahnya,saya disini order 2 cup large isinya dua2nya sama hanya setengah
2. Komunikasikan tolong kalau misalkan ada orderan yang tidak mengerti/lainnya anda dpt dikomuniksikan terlebih dahulu fitur chat kan canggih ya dijaman sekarang, apalagi sekelas kopken yg sampe punya aplikasi sendiri
3. Saya mengajukan pengembalian yg jelas2 ada buktinya(disini saya kesal kesali) kenapa ditolak??are u kidding me??
Kepada team management kopken tolong dijadikan concern ya, karna sayang sekali kalau cara menghandle complainnya seperti itu (menolak pengembalian), ingat Coffee shop sudah menjamur, competitor semakin banyak.terimakasih","583|||Produk dan layanan sangat buruk menurut pengalaman saya. Beberapa masalah: penyajian setengah porsi untuk dua cup large; komunikasi terkait pesanan tidak jelas—seharusnya ada komunikasi melalui fitur chat aplikasi; pengembalian ditolak padahal bukti ada, hal ini membuat kecewa. Kepada manajemen mohon menjadi perhatian karena penanganan komplain yang buruk dapat membuat pelanggan beralih ke kompetitor.",negative,Kopi Kenangan
"paling males bgt sm bapak tukang parkir di kasih 2rb ga mau dan ngotot, mana ga di sebrang in, muter in motor jg susah sendiri,",Kopi Kenangan cabang Cibaduyut merupakan salah satu cabang terbaik yang ada di Kota Bandung.,negative,Kopi Kenangan
"Beli Light Mocha Latte, karna ga ngerti tbtb mas nya blg ""kopinya arabica ya"", bingung harus jwb apa , ternyata kopi arabica itu termasuk ""Topping/ Add on"" jadi bayar lagi 6.000 sementara diawal ga dikasih tau kalau itu bayar lagi.. sad food sih jadinya hehe",779|||Saya membeli Light Mocha Latte dan tidak diberitahu bahwa kopi Arabica merupakan topping/add-on yang dikenakan biaya tambahan Rp6.000; awalnya tidak diinformasikan sehingga menjadi mengecewakan.,negative,Kopi Kenangan
"Cafe KOPKEN ini nyaman juga ternyata ketika sudah masuk ke indoor, dingin dan wifi cepat.. sangat rekom untuk bisa nongkrong sambil kerja disini","Kursinya banyak, AC nyaman, pelayanan baik, tempat bersih. Area smoking terpisah (di luar, depan toko). Tidak ada petugas parkir.",positive,Kopi Kenangan
Udah tau banyak pembeli tapi karyawan ada yg nyantai,"1164|||Walaupun banyak pembeli, beberapa karyawan terlihat santai.",negative,Kopi Kenangan
"Pelayan cewe nya gak sopan dan berkata kasar.....
Kami juga beli bukan minta...
Tolang kasih teguran buat karyawan cewe itu gak sopan....","1086|||Pelayan perempuan tidak sopan dan berkata kasar; kami juga pembeli, bukan peminta. Mohon beri teguran kepada karyawan tersebut.",negative,Kopi Kenangan
"Suka banget sih di sini, pelayannya ramah, apalagi sama mas barista yang namanya Ajri . Moodboster banget kalau pesen sama mas ini hihii, ramah banget mas ajri ini. Pokonya the best banget kopi kenangan yang di buah batu ini, deket kantor juga, jadi ya gampang buat pergi ke sini.",640|||Saya sangat menyukai layanan dan ramahnya barista bernama Ajri; dia meningkatkan suasana hati. Cabang Buah Batu ini favorit karena dekat kantor.,positive,Kopi Kenangan
Yang di pesen apa yang di kasih apa trus tulisan latte tapi rasa nya pahang,"Yang dipesan sesuai yang diberikan, tetapi tulisan ""latte"" terasa kurang berkarakter.",negative,Kopi Kenangan
"tempat paling the best nih buat nugas, buat moment ketemu orang bahkan buat moment pas lg sedih sendiri duduk ngopi sambil liatin hujan ","605|||Tempat terbaik untuk mengerjakan tugas, bertemu orang, atau duduk sendiri sambil menikmati hujan.",positive,Kopi Kenangan
Saya pesan kopi kenangan mantan 5 reguler tanpa es tapi yg dikirim pakai es normal semuanya. Tolong diperbaiki lagi pelayanannya,"1080|||Saya memesan lima Kopi Kenangan Mantan reguler tanpa es, namun yang dikirim semua menggunakan es. Mohon perbaiki layanan.",negative,Kopi Kenangan
enak,1436|||Enak.,positive,Kopi Kenangan
Bagus pelanyannya sangat ramah tapi saya untuk toilet.a  tidak kran untuk wudhu,"1255|||Pelayanannya ramah, namun untuk toilet tidak tersedia kran untuk wudhu.",positive,Kopi Kenangan
"Order kopi latte reguler
Ga ditanya mau dingin atau panas  mungkin mba capek udah malem kita kesana
Karena suami bawa gelas sendiri pas diambil ko ringan ini mah capucino kebanyakan foamnya","723|||Saya memesan latte reguler; tidak ditanyakan mau dingin atau panas—mungkin karena capek karena malam. Karena suami membawa gelas sendiri, ketika diambil terasa ringan; sepertinya cappuccino ini terlalu banyak busa.",negative,Kopi Kenangan
Kopi kenenagan tapi tidak pernah ada kenangan ,"Namanya Kopi Kenangan tetapi tidak memberikan ""kenangan""—kopinya tetap enak.",negative,Kopi Kenangan
"Yg namanya hari weekend itu pasti rame, tolong lah kepada owner jangan sampe pelayanan hanya 1 orang.",1138|||Di akhir pekan tempat pasti ramai; mohon kepada pemilik agar pelayanan tidak hanya dijalankan oleh satu orang.,negative,Kopi Kenangan
Serius nanya nihh.. Maaf mo nanya kl Es Latte itu emang ga pake gula apa gmana yah? Koq ga manis yah yg saya order..,652|||Maaf ingin bertanya: apakah Es Latte memang tidak menggunakan gula? Mengapa pesanan saya tidak terasa manis.,negative,Kopi Kenangan
Nyaman,Nyaman.,positive,Kopi Kenangan
Kopi dan tempatnya enak tapi di share tampilan depan di gmaps beda dg aslinya,"Kopi dan suasana tempatnya enak, namun tampilan foto depan di Google Maps berbeda dengan kondisi aslinya.",positive,Kopi Kenangan
"Ini ice americanonya rasanya gosong pertama kali beli di cabang ini kecewa ,
padahal sering beli di cabang lain enak2 aja apalagi pake juara beans enakbgt ko disini gak enak bgt terasa gosong.tolong di perbaiki jd lebih baik!","Ice Americano di sini terasa gosong; ini pengalaman pertama saya di cabang ini sehingga sangat mengecewakan, padahal saya sering membeli di cabang lain yang rasanya enak, apalagi menggunakan biji kopi Juara. Mohon perbaikan agar kualitas kopi menjadi lebih baik.",negative,Kopi Kenangan
"3x beli disini, ga enak, beda dengan outlet lain.
Yg pertama kopi kenangan mantan, takaran espresso kurang
Yg kedua kopi kenangan mantan juga, pakai espresso yg kemarin
Yg ketiga jasmine tea, rasanya seperti sabun cuci piring plus pewangi pakaian ‍♀️‍♀️‍♀️
Kapok","3 kali beli disini, tidak enak, beda dengan outlet yang lain. Yang pertama Kopi Kenangan mantap, takaran espresso yang kemarin. Yang ketiga jasmine tea, rasanya seperti sabun cuci piring dan pewangi pakaian. Saya kapok.",negative,Kopi Kenangan
Ok,520|||Baik.,positive,Kopi Kenangan
"COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL

Keluhan atas pelayanan dan kasir 16 september 2025, jam 10.28. Mohon diinfokan siapa yg bertugas di shift tersebut.

Saya order untuk anak saya yg menunggu di mobil,
Saya pesan ice caffe latte. Se sederhana kopi susu jika memang kasir perlu di translate dan disamakan dengan toko2 lain.

Yang mereka kasih ice malt latte. Lalu saya complain, harus 5 menit anak saya jelaskan melalui telfon, karyawan perempuan di jam 10.28 ini sulit sekali memahami bahwa yg anak saya order hanya kopi susu. Perlu waktu untuk menjelaskan hal yang SANGAT SEDERHANA.

Akhirnya petugas laki2 yg menerima telfon, dan diganti dengan ice latte biasa. Yang memang saya order.

NAMUN, HARGA ICE CAFE MALT DAN ICE CAFE LATTE ITU BERBEDA. Meskipun bedanya tidak seberapa, tetapi TIDAK ADA ITIKAD DARI KASIR TERSEBUT UNTUK MEMPERBAIKI ATAU MENGEMBALIKAN KEMBALIAN SAYA. ice cafe malt saya kembalikan dan yang saya bawa hanya ICE CAFE LATE DENGAN HARGA ICE CAFE MALT.

Ini menunjukan bahwa, kasir perempuan tidak paham dengan menu di tempat kerjanya.
Tidak ada niat untuk memberikan pelayanan yg baik untuk customer.
Apakah ada tindak kesengajaan dari kasir untuk memberika menu yg lebih mahal?

Bagi sebagian orang, mungkin Oatside dianggap keren, termasuk kasir perempuan yg menyebutkan bahwa “ini pake oatside susunya”
YA SAYA JUGA TAU OAT DI KOPI KENANGAN MENGGUNAKAN OAT MILK, YANG SAYA ORDER HANYA SUSU BIASA.

Jika kasir paham, kandungan kadar gula di OAT dengan SUSU BIASA itu berbeda. YANG SAYA MAU BUKAN HANYA KEREN2AN PAKAI OATMILK, saya kalau order, hanya order yg saya butuh yaitu susu biasa.

Mohon diingat, tidak ada kembalian yang diberikan oleh karyawan, saya harus marah2 dulu hanya untuk menjelaskan yg saya mau hanya susu biasa bukan oatmilk. Dan saya hanya harus mengembalikan orderan yg salah, dan hanya membawa orderan yang semestinya setelah harus berhadapan dengan ketidak tahuan pegawai  kopi kenangan kopo bihbul. which actually fine, tapi karena saya harus marah2 dulu karena pegawai nya tidak mempelajari menu, harus saya sampaikan disini.

COMPLAINT ATAS PEGAWAI SHIFT JAM 10.28 - 16 SEPTEMBER 2025 - RUKO KOPO BIHBUL","Keluhan resmi atas pelayanan pada shift 10:28 tanggal 16 September 2025 di Ruko Kopo Bihbul: ada kekeliruan menu (ice malt latte diberikan padahal yang dipesan ice caffe latte) dan kasir perempuan sulit memahami pesanan melalui telepon sehingga memerlukan waktu lama untuk klarifikasi. Setelah perbaikan, pelanggan menerima item yang benar namun tidak menerima pengembalian uang selisih harga. Keluhan ini menunjukkan kurangnya pemahaman kasir terhadap menu dan kurangnya itikad untuk memperbaiki kesalahan. Mohon diinformasikan siapa yang bertugas pada shift tersebut dan tindaklanjut yang diambil oleh manajemen.",negative,Kopi Kenangan
"nge kasir sendiri, trus bkin kopinya sndiri, gaada barista nya, gila sih sbel bgt nunggunya lama",1135|||Pelayanan membuat pelanggan harus membuat kopi sendiri karena tidak ada barista sehingga menunggu sangat lama — sangat menjengkelkan.,negative,Kopi Kenangan
"Kalau keteteran harus buka loker, jangan cuma 2 org yg melayani","Jika ada keterbatasan tenaga, mohon tambahkan staf agar layanan tidak melambat.",negative,Kopi Kenangan
Sippp,Sip.,positive,Kopi Kenangan
"Just like your usual Kopi Kenangan chain, but better in a few aspects. The barista are quick with your order (even though it was quite busy when I got here), and there are plenty of seating available. The pastry and bread choice are wide compared to some other chains, even though this chain itself can be considered a small one. The atmosphere is also pretty chill.","Tempatnya nyaman, berpendingin udara penuh (full AC), menunya lengkap, dan tempat duduknya banyak karena rukonya terdiri dari dua lantai. Tersedia juga ruangan khusus untuk perokok.",positive,Kopi Kenangan
"The response from the store was so strange.
I ordered during open hours on grab, but it appears the clerk made a mistake and missed it!
An hour after closing, it was marked as being handed over to the grab driver, and the grab driver actually went to pick it up!
Of course the store is closed!
I can only assume they went there to hide their mistake.
Shouldn't there be an apology for the fraud that the order was completed as well as the inconvenience caused to the grab driver to hide the mistake?","Respons dari toko sangat aneh. Saya memesan melalui Grab saat jam buka, tetapi sepertinya kasir melakukan kesalahan dan melewatkannya! Satu jam setelah tutup, pesanan ditandai sebagai sudah diserahkan kepada driver Grab, dan driver tersebut benar-benar datang mengambilnya—padahal toko sudah tutup! Saya menduga mereka melakukan itu untuk menutupi kesalahan. Seharusnya ada permintaan maaf atas kesalahan pencatatan dan ketidaknyamanan yang dialami driver Grab.",negative,Kopi Kenangan
"3x beli disini, ga enak, beda dengan outlet lain.
Yg pertama kopi kenangan mantan, takaran espresso kurang
Yg kedua kopi kenangan mantan juga, pakai espresso yg kemarin
Yg ketiga jasmine tea, rasanya seperti sabun cuci piring plus pewangi pakaian ‍♀️‍♀️‍♀️
Kapok","3 kali beli disini, tidak enak, beda dengan outlet yang lain. Yang pertama Kopi Kenangan mantap, takaran espresso yang kemarin. Yang ketiga jasmine tea, rasanya seperti sabun cuci piring dan pewangi pakaian. Saya kapok.",negative,Kopi Kenangan
Deket pintu keluar kebon jati ke sebelah kiri...deket yosinoya...,Dekat pintu keluar Kebon Jati di sebelah kiri. Dekat Yoshinoya.,positive,Kopi Kenangan
Kopi kenenagan tapi tidak pernah ada kenangan ,1372|||Kopi Kenangan tetapi tidak pernah menghadirkan kenangan.,negative,Kopi Kenangan
"Mood 0/100 drive thru lama bgt parahhhhhh, ini udh yg ke berapa kali makanya berani bikin review!  gaada masalah sm produknya, cmn kl ga mampu bikin layanan drive thru gausah maksain",Pelayannya sangat ceria; senyumnya manis sehingga suasana menjadi positif bagi pelanggan.,negative,Kopi Kenangan
"Di aplikasi sudah di klik pesan sudah jadi, pas saya mau pick up bilang nunggu di panggil, selang 20 menit mereka ngobrol"" sesama barista sampai pesanan saya tdk di buat"" . Saya komplain langsung ternyata pesanan saya belum di buat sama mereka . Barista cewe dan cowo pake kaca mata . Kejadian senin 9 desember jam 20.00","1136|||Di aplikasi pesanan sudah terkonfirmasi siap, namun saat pick up diberitahu menunggu panggilan; setelah 20 menit terlihat barista mengobrol sehingga pesanan saya belum dibuat. Saya komplain dan ternyata pesanan memang belum dibuat. Kejadian Senin 9 Desember pukul 20.00, pelaku barista berpakaian kacamata.",negative,Kopi Kenangan
